Duggingen,612500,255800
Grellingen,611300,254600
Laufen,604700,252200
Liesberg,599300,250300
Nenzlingen,609300,255300
Roggenburg,592600,253700
Röschenz,602800,252600
Wahlen,605800,250000
Zwingen,606900,253900
Arisdorf,624600,262300
Augst,621000,265000
Bubendorf,622500,255300
Frenkendorf,620900,261400
Füllinsdorf,621900,261700
Giebenach,623100,263600
Hersberg,626000,260200
Lausen,624200,258000
Liestal,622300,259400
Lupsingen,619300,255100
Pratteln,619300,263400
Ramlinsburg,624500,255400
Seltisberg,621000,256600
Ziefen,620300,253400
Anwil,637900,255700
Böckten,629900,257000
Buckten,630700,251100
Buus,632100,261700
Diepflingen,630100,255100
Gelterkinden,631400,257100
Häfelfingen,632300,251600
Hemmiken,634200,259800
Itingen,626100,257400
Känerkinden,630000,251300
Kilchberg (BL),634700,252900
Läufelfingen,631600,249500
Maisprach,630700,263800
Nusshof,627600,260100
Oltingen,637400,253600
Ormalingen,633000,257700
Rickenbach (BL),631100,259400
Rothenfluh,635900,256700
Rümlingen,630900,252600
Rünenberg,633600,253600
Sissach,628100,256900
Tecknau,633500,255600
Tenniken,628200,254000
Thürnen,629500,256100
Wenslingen,635600,254400
Wintersingen,629100,260400
Wittinsburg,630400,252900
Zeglingen,635200,251900
Zunzgen,627800,255400
Arboldswil,621000,251800
Bennwil,625800,250300
Bretzwil,616100,249700
Diegten,628100,251500
Eptingen,628800,248400
Hölstein,625000,252700
Lampenberg,624200,252800
Langenbruck,624800,244300
Lauwil,617900,248800
Liedertswil,621100,249000
Niederdorf,623600,250700
Oberdorf (BL),623500,249200
Reigoldswil,619100,249600
Titterten,621000,250200
Waldenburg,623200,247900
Gächlingen,679700,284200
Löhningen,683700,284000
Neunkirch,679600,282700
Büttenhardt,691100,290300
Dörflingen,696100,284800
Lohn (SH),692400,290200
Stetten (SH),691800,288400
Thayngen,695100,289300
Bargen (SH),687900,294100
Beringen,685300,283700
Buchberg,684500,269700
Merishausen,687700,290700
Neuhausen am Rheinfall,688500,281900
Rüdlingen,684600,270700
Schaffhausen,689600,283800
Beggingen,682400,291300
Schleitheim,678600,289300
Siblingen,681200,285400
Buch (SH),700900,286000
Hemishofen,704600,281600
Ramsen,702900,285000
Stein am Rhein,706700,279800
Hallau,676500,283400
Oberhallau,678000,284400
Trasadingen,674600,280200
Wilchingen,677300,280100
Herisau,738700,250300
Hundwil,742000,247700
Schönengrund,735200,243200
Schwellbrunn,736800,246100
Stein (AR),743900,248700
Urnäsch,739600,242400
Waldstatt,739500,246700
Bühler,749500,248800
Gais,752200,247700
Speicher,751200,253100
Teufen (AR),747100,250700
Trogen,752900,252800
Grub (AR),756200,257400
Heiden,758000,256900
Lutzenberg,760600,258700
Rehetobel,754200,254800
Reute (AR),761200,254300
Wald (AR),754700,253700
Walzenhausen,763200,257700
Wolfhalden,759200,258000
Appenzell,749000,244100
Gonten,744700,243700
Rüte,750500,243000
Schlatt-Haslen,745700,248300
Schwende,751000,240800
Oberegg,759400,254600
Häggenschwil,743400,262100
Muolen,742000,265100
St. Gallen,746200,254600
Wittenbach,746300,258700
Berg (SG),748300,261300
Eggersriet,753400,256600
Goldach,752800,260000
Mörschwil,749600,259500
Rorschach,754800,260700
Rorschacherberg,756100,259500
Steinach,750800,263300
Tübach,751700,261400
Untereggen,751800,257900
Au (SG),765800,256100
Balgach,763800,253000
Berneck,764000,255000
Diepoldsau,767400,250600
Rheineck,762100,259500
St. Margrethen,765500,258100
Thal,760700,259300
Widnau,765700,252900
Altstätten,758700,249600
